[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:51:26.291] V:3.968V | I:0.575A | mAh:338.33
[2026-01-16 22:51:27.296] V:3.964V | I:0.575A | mAh:338.49
[2026-01-16 22:51:28.303] V:3.968V | I:0.575A | mAh:338.65
[2026-01-16 22:51:29.293] V:3.972V | I:0.575A | mAh:338.81
[2026-01-16 22:51:30.307] V:3.972V | I:0.575A | mAh:338.97
[2026-01-16 22:51:31.297] V:3.972V | I:0.576A | mAh:339.13
[2026-01-16 22:51:32.303] V:3.964V | I:0.575A | mAh:339.29
[2026-01-16 22:51:33.306] V:3.972V | I:0.575A | mAh:339.45
[2026-01-16 22:51:34.311] V:3.964V | I:0.575A | mAh:339.61
[2026-01-16 22:51:35.316] V:3.968V | I:0.575A | mAh:339.77
[2026-01-16 22:51:36.317] V:3.964V | I:0.576A | mAh:339.93
[2026-01-16 22:51:37.306] V:3.968V | I:0.576A | mAh:340.09
[2026-01-16 22:51:38.310] V:3.976V | I:0.575A | mAh:340.25
[2026-01-16 22:51:39.310] V:3.968V | I:0.576A | mAh:340.41
[2026-01-16 22:51:40.319] V:3.972V | I:0.576A | mAh:340.57
[2026-01-16 22:51:41.327] V:3.968V | I:0.575A | mAh:340.73
[2026-01-16 22:51:42.318] V:3.972V | I:0.576A | mAh:340.89
[2026-01-16 22:51:43.327] V:3.972V | I:0.575A | mAh:341.05
[2026-01-16 22:51:44.326] V:3.968V | I:0.575A | mAh:341.21
[2026-01-16 22:51:45.328] V:3.972V | I:0.576A | mAh:341.37
[2026-01-16 22:51:46.326] V:3.976V | I:0.575A | mAh:341.53
[2026-01-16 22:51:47.327] V:3.968V | I:0.575A | mAh:341.69
[2026-01-16 22:51:48.331] V:3.968V | I:0.575A | mAh:341.85
[2026-01-16 22:51:49.333] V:3.968V | I:0.575A | mAh:342.01
[2026-01-16 22:51:50.339] V:3.960V | I:0.576A | mAh:342.17
[2026-01-16 22:51:51.344] V:3.968V | I:0.575A | mAh:342.33
[2026-01-16 22:51:52.336] V:3.968V | I:0.575A | mAh:342.49
[2026-01-16 22:51:53.342] V:3.972V | I:0.575A | mAh:342.65
[2026-01-16 22:51:54.353] V:3.964V | I:0.575A | mAh:342.82
[2026-01-16 22:51:55.357] V:3.968V | I:0.575A | mAh:342.98
[2026-01-16 22:51:56.350] V:3.968V | I:0.575A | mAh:343.14
[2026-01-16 22:51:57.358] V:3.964V | I:0.575A | mAh:343.30
[2026-01-16 22:51:58.360] V:3.976V | I:0.575A | mAh:343.46
[2026-01-16 22:51:59.352] V:3.968V | I:0.575A | mAh:343.62
[2026-01-16 22:52:00.360] V:3.968V | I:0.575A | mAh:343.78
[2026-01-16 22:52:01.368] V:3.968V | I:0.575A | mAh:343.94
[2026-01-16 22:52:02.356] V:3.968V | I:0.575A | mAh:344.10
[2026-01-16 22:52:03.366] V:3.968V | I:0.575A | mAh:344.26
[2026-01-16 22:52:04.374] V:3.972V | I:0.575A | mAh:344.42
[2026-01-16 22:52:05.365] V:3.964V | I:0.575A | mAh:344.58
[2026-01-16 22:52:06.373] V:3.976V | I:0.575A | mAh:344.74
[2026-01-16 22:52:07.379] V:3.968V | I:0.575A | mAh:344.90
[2026-01-16 22:52:08.373] V:3.968V | I:0.575A | mAh:345.06
[2026-01-16 22:52:09.383] V:3.972V | I:0.575A | mAh:345.22
[2026-01-16 22:52:10.375] V:3.972V | I:0.575A | mAh:345.38
[2026-01-16 22:52:11.382] V:3.972V | I:0.576A | mAh:345.54
[2026-01-16 22:52:12.375] V:3.972V | I:0.575A | mAh:345.70
[2026-01-16 22:52:13.384] V:3.972V | I:0.575A | mAh:345.86
[2026-01-16 22:52:14.393] V:3.972V | I:0.575A | mAh:346.02
[2026-01-16 22:52:15.387] V:3.984V | I:0.575A | mAh:346.18
[2026-01-16 22:52:16.391] V:3.968V | I:0.575A | mAh:346.34
[2026-01-16 22:52:17.399] V:3.972V | I:0.575A | mAh:346.50
[2026-01-16 22:52:18.390] V:3.976V | I:0.575A | mAh:346.66
[2026-01-16 22:52:19.399] V:3.972V | I:0.575A | mAh:346.82
[2026-01-16 22:52:20.404] V:3.972V | I:0.575A | mAh:346.98
[2026-01-16 22:52:21.393] V:3.976V | I:0.575A | mAh:347.14
[2026-01-16 22:52:22.403] V:3.972V | I:0.575A | mAh:347.30
[2026-01-16 22:52:23.406] V:3.972V | I:0.575A | mAh:347.46
[2026-01-16 22:52:24.410] V:3.968V | I:0.575A | mAh:347.62
[2026-01-16 22:52:25.416] V:3.972V | I:0.575A | mAh:347.78
[2026-01-16 22:52:26.404] V:3.972V | I:0.576A | mAh:347.94
[2026-01-16 22:52:27.413] V:3.972V | I:0.575A | mAh:348.10
[2026-01-16 22:52:28.415] V:3.976V | I:0.575A | mAh:348.26
[2026-01-16 22:52:29.424] V:3.968V | I:0.575A | mAh:348.42
[2026-01-16 22:52:30.414] V:3.972V | I:0.575A | mAh:348.58
[2026-01-16 22:52:31.421] V:3.972V | I:0.575A | mAh:348.74
[2026-01-16 22:52:32.429] V:3.976V | I:0.575A | mAh:348.90
[2026-01-16 22:52:33.422] V:3.976V | I:0.575A | mAh:349.06
[2026-01-16 22:52:34.429] V:3.972V | I:0.575A | mAh:349.22
[2026-01-16 22:52:35.422] V:3.968V | I:0.575A | mAh:349.38
[2026-01-16 22:52:36.429] V:3.976V | I:0.576A | mAh:349.54
[2026-01-16 22:52:37.437] V:3.972V | I:0.575A | mAh:349.70
[2026-01-16 22:52:38.430] V:3.972V | I:0.575A | mAh:349.86
[2026-01-16 22:52:39.437] V:3.972V | I:0.575A | mAh:350.02
[2026-01-16 22:52:40.444] V:3.968V | I:0.575A | mAh:350.18
[2026-01-16 22:52:41.438] V:3.968V | I:0.575A | mAh:350.34
[2026-01-16 22:52:42.448] V:3.968V | I:0.575A | mAh:350.50
[2026-01-16 22:52:43.452] V:3.968V | I:0.575A | mAh:350.66
[2026-01-16 22:52:44.445] V:3.968V | I:0.575A | mAh:350.82
[2026-01-16 22:52:45.452] V:3.968V | I:0.575A | mAh:350.98
[2026-01-16 22:52:46.457] V:3.972V | I:0.575A | mAh:351.14
[2026-01-16 22:52:47.450] V:3.972V | I:0.575A | mAh:351.30
[2026-01-16 22:52:48.457] V:3.972V | I:0.575A | mAh:351.46
[2026-01-16 22:52:49.449] V:3.980V | I:0.575A | mAh:351.62
[2026-01-16 22:52:50.455] V:3.972V | I:0.575A | mAh:351.78
[2026-01-16 22:52:51.463] V:3.972V | I:0.575A | mAh:351.94
[2026-01-16 22:52:52.463] V:3.976V | I:0.575A | mAh:352.10
[2026-01-16 22:52:53.462] V:3.972V | I:0.575A | mAh:352.26
[2026-01-16 22:52:54.461] V:3.968V | I:0.575A | mAh:352.42
[2026-01-16 22:52:55.463] V:3.976V | I:0.575A | mAh:352.58
[2026-01-16 22:52:56.465] V:3.972V | I:0.575A | mAh:352.74
[2026-01-16 22:52:57.471] V:3.980V | I:0.576A | mAh:352.90
[2026-01-16 22:52:58.479] V:3.972V | I:0.576A | mAh:353.06
[2026-01-16 22:52:59.481] V:3.972V | I:0.575A | mAh:353.22
[2026-01-16 22:53:00.473] V:3.972V | I:0.575A | mAh:353.38
[2026-01-16 22:53:01.480] V:3.976V | I:0.575A | mAh:353.54
[2026-01-16 22:53:02.485] V:3.972V | I:0.575A | mAh:353.70
[2026-01-16 22:53:03.478] V:3.968V | I:0.575A | mAh:353.86
[2026-01-16 22:53:04.484] V:3.968V | I:0.575A | mAh:354.02
[2026-01-16 22:53:05.492] V:3.976V | I:0.575A | mAh:354.18
[2026-01-16 22:53:06.484] V:3.976V | I:0.576A | mAh:354.34
[2026-01-16 22:53:07.493] V:3.972V | I:0.575A | mAh:354.50
[2026-01-16 22:53:08.502] V:3.972V | I:0.576A | mAh:354.66
[2026-01-16 22:53:09.493] V:3.976V | I:0.575A | mAh:354.82
[2026-01-16 22:53:10.501] V:3.972V | I:0.575A | mAh:354.98
[2026-01-16 22:53:11.508] V:3.976V | I:0.575A | mAh:355.14
[2026-01-16 22:53:12.500] V:3.968V | I:0.575A | mAh:355.30
[2026-01-16 22:53:13.501] V:3.972V | I:0.575A | mAh:355.46
[2026-01-16 22:53:14.508] V:3.972V | I:0.575A | mAh:355.62
[2026-01-16 22:53:15.515] V:3.976V | I:0.575A | mAh:355.78
[2026-01-16 22:53:16.507] V:3.968V | I:0.575A | mAh:355.94
[2026-01-16 22:53:17.516] V:3.968V | I:0.575A | mAh:356.10
[2026-01-16 22:53:18.508] V:3.976V | I:0.575A | mAh:356.26
[2026-01-16 22:53:19.518] V:3.968V | I:0.575A | mAh:356.42
[2026-01-16 22:53:20.524] V:3.972V | I:0.575A | mAh:356.58
[2026-01-16 22:53:21.515] V:3.976V | I:0.575A | mAh:356.74
[2026-01-16 22:53:22.521] V:3.972V | I:0.575A | mAh:356.90
[2026-01-16 22:53:23.530] V:3.968V | I:0.575A | mAh:357.06
[2026-01-16 22:53:24.519] V:3.972V | I:0.575A | mAh:357.22
[2026-01-16 22:53:25.525] V:3.972V | I:0.575A | mAh:357.38
[2026-01-16 22:53:26.531] V:3.972V | I:0.576A | mAh:357.54
[2026-01-16 22:53:27.536] V:3.964V | I:0.575A | mAh:357.70
[2026-01-16 22:53:28.541] V:3.972V | I:0.575A | mAh:357.86
[2026-01-16 22:53:29.532] V:3.976V | I:0.575A | mAh:358.02
[2026-01-16 22:53:30.539] V:3.972V | I:0.575A | mAh:358.18
[2026-01-16 22:53:31.546] V:3.976V | I:0.575A | mAh:358.34
[2026-01-16 22:53:32.539] V:3.976V | I:0.575A | mAh:358.50
[2026-01-16 22:53:33.547] V:3.972V | I:0.576A | mAh:358.66
[2026-01-16 22:53:34.539] V:3.980V | I:0.575A | mAh:358.82
[2026-01-16 22:53:35.548] V:3.972V | I:0.575A | mAh:358.98
[2026-01-16 22:53:36.553] V:3.972V | I:0.575A | mAh:359.15
[2026-01-16 22:53:37.546] V:3.972V | I:0.575A | mAh:359.31
[2026-01-16 22:53:38.552] V:3.968V | I:0.575A | mAh:359.47
[2026-01-16 22:53:39.559] V:3.972V | I:0.575A | mAh:359.63
[2026-01-16 22:53:40.550] V:3.976V | I:0.575A | mAh:359.79
[2026-01-16 22:53:41.558] V:3.972V | I:0.575A | mAh:359.95
[2026-01-16 22:53:42.565] V:3.972V | I:0.575A | mAh:360.11
[2026-01-16 22:53:43.569] V:3.972V | I:0.575A | mAh:360.27
[2026-01-16 22:53:44.562] V:3.972V | I:0.575A | mAh:360.43
[2026-01-16 22:53:45.567] V:3.972V | I:0.575A | mAh:360.59
[2026-01-16 22:53:46.577] V:3.968V | I:0.576A | mAh:360.75
[2026-01-16 22:53:47.569] V:3.976V | I:0.575A | mAh:360.91
[2026-01-16 22:53:48.574] V:3.976V | I:0.575A | mAh:361.07
[2026-01-16 22:53:49.582] V:3.980V | I:0.575A | mAh:361.23
[2026-01-16 22:53:50.574] V:3.968V | I:0.575A | mAh:361.39
[2026-01-16 22:53:51.582] V:3.976V | I:0.575A | mAh:361.55
[2026-01-16 22:53:52.588] V:3.972V | I:0.575A | mAh:361.71
[2026-01-16 22:53:53.582] V:3.976V | I:0.575A | mAh:361.87
[2026-01-16 22:53:54.592] V:3.976V | I:0.575A | mAh:362.03
[2026-01-16 22:53:55.586] V:3.968V | I:0.575A | mAh:362.19
[2026-01-16 22:53:56.594] V:3.968V | I:0.575A | mAh:362.35
[2026-01-16 22:53:57.584] V:3.992V | I:0.575A | mAh:362.51
[2026-01-16 22:53:58.601] V:3.972V | I:0.575A | mAh:362.67
[2026-01-16 22:53:59.600] V:3.980V | I:0.575A | mAh:362.83
[2026-01-16 22:54:00.605] V:3.972V | I:0.575A | mAh:362.99
[2026-01-16 22:54:01.603] V:3.980V | I:0.575A | mAh:363.15
[2026-01-16 22:54:02.608] V:3.976V | I:0.575A | mAh:363.31
[2026-01-16 22:54:03.611] V:3.976V | I:0.575A | mAh:363.47
[2026-01-16 22:54:04.602] V:3.972V | I:0.575A | mAh:363.63
[2026-01-16 22:54:05.614] V:3.972V | I:0.575A | mAh:363.79
[2026-01-16 22:54:06.607] V:3.976V | I:0.575A | mAh:363.95
[2026-01-16 22:54:07.610] V:3.980V | I:0.575A | mAh:364.11
[2026-01-16 22:54:08.616] V:3.976V | I:0.575A | mAh:364.27
[2026-01-16 22:54:09.608] V:3.980V | I:0.575A | mAh:364.43
[2026-01-16 22:54:10.618] V:3.976V | I:0.575A | mAh:364.59
[2026-01-16 22:54:11.626] V:3.972V | I:0.575A | mAh:364.75
[2026-01-16 22:54:12.615] V:3.980V | I:0.575A | mAh:364.91
[2026-01-16 22:54:13.623] V:3.972V | I:0.575A | mAh:365.07
[2026-01-16 22:54:14.630] V:3.972V | I:0.575A | mAh:365.23
[2026-01-16 22:54:15.634] V:3.976V | I:0.575A | mAh:365.39
[2026-01-16 22:54:16.628] V:3.980V | I:0.575A | mAh:365.55
[2026-01-16 22:54:17.634] V:3.972V | I:0.575A | mAh:365.71
[2026-01-16 22:54:18.627] V:3.980V | I:0.575A | mAh:365.87
[2026-01-16 22:54:19.636] V:3.976V | I:0.575A | mAh:366.03
[2026-01-16 22:54:20.643] V:3.972V | I:0.575A | mAh:366.19
[2026-01-16 22:54:21.634] V:3.972V | I:0.575A | mAh:366.35
[2026-01-16 22:54:22.643] V:3.976V | I:0.575A | mAh:366.51
[2026-01-16 22:54:23.652] V:3.980V | I:0.575A | mAh:366.67
[2026-01-16 22:54:24.643] V:3.984V | I:0.575A | mAh:366.83
[2026-01-16 22:54:25.650] V:3.972V | I:0.575A | mAh:366.99
[2026-01-16 22:54:26.656] V:3.980V | I:0.575A | mAh:367.15
[2026-01-16 22:54:27.647] V:3.972V | I:0.575A | mAh:367.31
[2026-01-16 22:54:28.651] V:3.976V | I:0.575A | mAh:367.47
[2026-01-16 22:54:29.658] V:3.976V | I:0.575A | mAh:367.63
[2026-01-16 22:54:30.663] V:3.976V | I:0.575A | mAh:367.79
[2026-01-16 22:54:31.654] V:3.976V | I:0.575A | mAh:367.95
[2026-01-16 22:54:32.663] V:3.972V | I:0.575A | mAh:368.11
[2026-01-16 22:54:33.669] V:3.980V | I:0.575A | mAh:368.27
[2026-01-16 22:54:34.660] V:3.976V | I:0.575A | mAh:368.43
[2026-01-16 22:54:35.665] V:3.972V | I:0.575A | mAh:368.59
[2026-01-16 22:54:36.675] V:3.980V | I:0.575A | mAh:368.75
[2026-01-16 22:54:37.666] V:3.980V | I:0.575A | mAh:368.91
[2026-01-16 22:54:38.673] V:3.976V | I:0.575A | mAh:369.07
[2026-01-16 22:54:39.679] V:3.980V | I:0.575A | mAh:369.23
[2026-01-16 22:54:40.686] V:3.980V | I:0.575A | mAh:369.39
[2026-01-16 22:54:41.679] V:3.976V | I:0.575A | mAh:369.55
[2026-01-16 22:54:42.686] V:3.976V | I:0.575A | mAh:369.71
[2026-01-16 22:54:43.679] V:3.976V | I:0.575A | mAh:369.87
[2026-01-16 22:54:44.688] V:3.980V | I:0.575A | mAh:370.03
[2026-01-16 22:54:45.695] V:3.976V | I:0.575A | mAh:370.19
[2026-01-16 22:54:46.688] V:3.976V | I:0.576A | mAh:370.35
[2026-01-16 22:54:47.699] V:3.972V | I:0.575A | mAh:370.51
[2026-01-16 22:54:48.691] V:3.976V | I:0.575A | mAh:370.67
[2026-01-16 22:54:49.698] V:3.980V | I:0.575A | mAh:370.83
[2026-01-16 22:54:50.693] V:3.980V | I:0.575A | mAh:370.99
[2026-01-16 22:54:51.699] V:3.980V | I:0.575A | mAh:371.15
[2026-01-16 22:54:52.706] V:3.984V | I:0.575A | mAh:371.31
[2026-01-16 22:54:53.697] V:3.976V | I:0.575A | mAh:371.47
[2026-01-16 22:54:54.706] V:3.976V | I:0.575A | mAh:371.63
[2026-01-16 22:54:55.713] V:3.976V | I:0.575A | mAh:371.79
[2026-01-16 22:54:56.704] V:3.972V | I:0.575A | mAh:371.95
[2026-01-16 22:54:57.713] V:3.980V | I:0.575A | mAh:372.11
[2026-01-16 22:54:58.717] V:3.980V | I:0.575A | mAh:372.27
[2026-01-16 22:54:59.723] V:3.980V | I:0.575A | mAh:372.43
[2026-01-16 22:55:00.711] V:3.988V | I:0.575A | mAh:372.59
[2026-01-16 22:55:01.719] V:3.976V | I:0.575A | mAh:372.75
[2026-01-16 22:55:02.726] V:3.976V | I:0.575A | mAh:372.91
[2026-01-16 22:55:03.728] V:3.980V | I:0.575A | mAh:373.07
[2026-01-16 22:55:04.726] V:3.984V | I:0.575A | mAh:373.23
[2026-01-16 22:55:05.727] V:3.972V | I:0.575A | mAh:373.39
[2026-01-16 22:55:06.727] V:3.980V | I:0.575A | mAh:373.55
[2026-01-16 22:55:07.725] V:3.976V | I:0.575A | mAh:373.71
[2026-01-16 22:55:08.728] V:3.980V | I:0.576A | mAh:373.87
[2026-01-16 22:55:09.734] V:3.980V | I:0.575A | mAh:374.03
[2026-01-16 22:55:10.743] V:3.980V | I:0.575A | mAh:374.19
[2026-01-16 22:55:11.736] V:3.976V | I:0.575A | mAh:374.35
[2026-01-16 22:55:12.743] V:3.988V | I:0.575A | mAh:374.51
[2026-01-16 22:55:13.736] V:3.976V | I:0.575A | mAh:374.67
[2026-01-16 22:55:14.740] V:3.976V | I:0.575A | mAh:374.83
[2026-01-16 22:55:15.749] V:3.976V | I:0.575A | mAh:374.99
[2026-01-16 22:55:16.756] V:3.980V | I:0.575A | mAh:375.15
[2026-01-16 22:55:17.744] V:3.980V | I:0.575A | mAh:375.31
[2026-01-16 22:55:18.761] V:3.980V | I:0.575A | mAh:375.47
[2026-01-16 22:55:19.752] V:3.980V | I:0.576A | mAh:375.63
[2026-01-16 22:55:20.760] V:3.980V | I:0.575A | mAh:375.79
[2026-01-16 22:55:21.765] V:3.980V | I:0.575A | mAh:375.95
[2026-01-16 22:55:22.759] V:3.980V | I:0.575A | mAh:376.11
[2026-01-16 22:55:23.763] V:3.980V | I:0.575A | mAh:376.27
[2026-01-16 22:55:24.765] V:3.980V | I:0.575A | mAh:376.43
[2026-01-16 22:55:25.768] V:3.976V | I:0.575A | mAh:376.59
[2026-01-16 22:55:26.776] V:3.980V | I:0.575A | mAh:376.75
[2026-01-16 22:55:27.768] V:3.976V | I:0.575A | mAh:376.91
[2026-01-16 22:55:28.776] V:3.976V | I:0.575A | mAh:377.07
[2026-01-16 22:55:29.782] V:3.976V | I:0.575A | mAh:377.23
[2026-01-16 22:55:30.784] V:3.980V | I:0.575A | mAh:377.39
[2026-01-16 22:55:31.776] V:3.980V | I:0.575A | mAh:377.55
[2026-01-16 22:55:32.779] V:3.980V | I:0.575A | mAh:377.71
[2026-01-16 22:55:33.784] V:3.976V | I:0.575A | mAh:377.87
[2026-01-16 22:55:34.778] V:3.980V | I:0.575A | mAh:378.03
[2026-01-16 22:55:35.787] V:3.988V | I:0.575A | mAh:378.19
[2026-01-16 22:55:36.795] V:3.980V | I:0.575A | mAh:378.35
[2026-01-16 22:55:37.785] V:3.988V | I:0.575A | mAh:378.51
[2026-01-16 22:55:38.796] V:4.000V | I:0.575A | mAh:378.67
[2026-01-16 22:55:39.787] V:3.976V | I:0.575A | mAh:378.83
[2026-01-16 22:55:40.796] V:3.980V | I:0.575A | mAh:378.99
[2026-01-16 22:55:41.801] V:3.976V | I:0.575A | mAh:379.15
[2026-01-16 22:55:42.808] V:3.980V | I:0.575A | mAh:379.31
[2026-01-16 22:55:43.797] V:3.976V | I:0.575A | mAh:379.47
[2026-01-16 22:55:44.806] V:3.976V | I:0.575A | mAh:379.63
[2026-01-16 22:55:45.814] V:3.980V | I:0.575A | mAh:379.79
[2026-01-16 22:55:46.804] V:3.980V | I:0.575A | mAh:379.95
[2026-01-16 22:55:47.812] V:3.980V | I:0.575A | mAh:380.11
[2026-01-16 22:55:48.814] V:3.984V | I:0.575A | mAh:380.27
[2026-01-16 22:55:49.823] V:3.976V | I:0.575A | mAh:380.43
[2026-01-16 22:55:50.810] V:3.984V | I:0.575A | mAh:380.59
[2026-01-16 22:55:51.818] V:3.972V | I:0.575A | mAh:380.75
[2026-01-16 22:55:52.828] V:3.980V | I:0.575A | mAh:380.91
[2026-01-16 22:55:53.820] V:3.976V | I:0.575A | mAh:381.07
[2026-01-16 22:55:54.831] V:3.976V | I:0.575A | mAh:381.23
[2026-01-16 22:55:55.821] V:3.988V | I:0.575A | mAh:381.39
[2026-01-16 22:55:56.831] V:3.980V | I:0.575A | mAh:381.55
[2026-01-16 22:55:57.834] V:3.984V | I:0.575A | mAh:381.71
[2026-01-16 22:55:58.840] V:3.980V | I:0.575A | mAh:381.87
[2026-01-16 22:55:59.831] V:3.984V | I:0.575A | mAh:382.03
[2026-01-16 22:56:00.835] V:3.980V | I:0.575A | mAh:382.19
[2026-01-16 22:56:01.844] V:3.980V | I:0.575A | mAh:382.35
[2026-01-16 22:56:02.834] V:3.984V | I:0.575A | mAh:382.51
[2026-01-16 22:56:03.843] V:3.984V | I:0.575A | mAh:382.67
[2026-01-16 22:56:04.847] V:3.980V | I:0.575A | mAh:382.83
[2026-01-16 22:56:05.842] V:3.980V | I:0.575A | mAh:382.99
[2026-01-16 22:56:06.849] V:3.980V | I:0.575A | mAh:383.15
[2026-01-16 22:56:07.856] V:3.976V | I:0.575A | mAh:383.31
[2026-01-16 22:56:08.851] V:3.976V | I:0.575A | mAh:383.47
[2026-01-16 22:56:09.853] V:3.980V | I:0.575A | mAh:383.63
[2026-01-16 22:56:10.854] V:3.984V | I:0.575A | mAh:383.79
[2026-01-16 22:56:11.851] V:3.984V | I:0.575A | mAh:383.95
[2026-01-16 22:56:12.869] V:3.980V | I:0.575A | mAh:384.11
[2026-01-16 22:56:13.869] V:3.984V | I:0.575A | mAh:384.27
[2026-01-16 22:56:14.859] V:3.980V | I:0.575A | mAh:384.43
[2026-01-16 22:56:15.869] V:3.980V | I:0.575A | mAh:384.59
[2026-01-16 22:56:16.873] V:3.980V | I:0.575A | mAh:384.75
[2026-01-16 22:56:17.865] V:3.980V | I:0.576A | mAh:384.91
[2026-01-16 22:56:18.872] V:3.984V | I:0.575A | mAh:385.07
[2026-01-16 22:56:19.880] V:3.980V | I:0.575A | mAh:385.23
[2026-01-16 22:56:20.870] V:3.980V | I:0.575A | mAh:385.39
[2026-01-16 22:56:21.881] V:3.984V | I:0.575A | mAh:385.55
[2026-01-16 22:56:22.875] V:3.984V | I:0.575A | mAh:385.71
[2026-01-16 22:56:23.882] V:3.976V | I:0.575A | mAh:385.87
[2026-01-16 22:56:24.887] V:3.984V | I:0.575A | mAh:386.03
[2026-01-16 22:56:25.894] V:3.980V | I:0.575A | mAh:386.19
[2026-01-16 22:56:26.883] V:3.980V | I:0.575A | mAh:386.35
[2026-01-16 22:56:27.892] V:3.980V | I:0.575A | mAh:386.51
[2026-01-16 22:56:28.886] V:3.980V | I:0.575A | mAh:386.67
[2026-01-16 22:56:29.892] V:3.984V | I:0.575A | mAh:386.83
[2026-01-16 22:56:30.898] V:3.984V | I:0.575A | mAh:386.99
[2026-01-16 22:56:31.892] V:3.980V | I:0.575A | mAh:387.15
[2026-01-16 22:56:32.897] V:3.980V | I:0.575A | mAh:387.31
[2026-01-16 22:56:33.904] V:3.980V | I:0.575A | mAh:387.47
[2026-01-16 22:56:34.906] V:3.988V | I:0.575A | mAh:387.63
[2026-01-16 22:56:35.914] V:3.984V | I:0.575A | mAh:387.79
[2026-01-16 22:56:36.902] V:3.980V | I:0.575A | mAh:387.95
[2026-01-16 22:56:37.912] V:3.980V | I:0.575A | mAh:388.11
[2026-01-16 22:56:38.919] V:3.980V | I:0.575A | mAh:388.27
[2026-01-16 22:56:39.914] V:3.988V | I:0.575A | mAh:388.43
[2026-01-16 22:56:40.924] V:3.984V | I:0.575A | mAh:388.59
[2026-01-16 22:56:41.919] V:3.984V | I:0.575A | mAh:388.75
[2026-01-16 22:56:42.927] V:3.980V | I:0.575A | mAh:388.91
[2026-01-16 22:56:43.917] V:3.980V | I:0.575A | mAh:389.07
[2026-01-16 22:56:44.928] V:3.980V | I:0.575A | mAh:389.23
[2026-01-16 22:56:45.934] V:3.984V | I:0.575A | mAh:389.39
[2026-01-16 22:56:46.929] V:3.984V | I:0.575A | mAh:389.55
[2026-01-16 22:56:47.937] V:3.984V | I:0.575A | mAh:389.71
[2026-01-16 22:56:48.930] V:3.980V | I:0.575A | mAh:389.87
[2026-01-16 22:56:49.940] V:3.980V | I:0.575A | mAh:390.03
[2026-01-16 22:56:50.934] V:3.984V | I:0.575A | mAh:390.19
[2026-01-16 22:56:51.941] V:3.984V | I:0.575A | mAh:390.35
[2026-01-16 22:56:52.945] V:3.976V | I:0.575A | mAh:390.51
[2026-01-16 22:56:53.936] V:3.980V | I:0.575A | mAh:390.67
[2026-01-16 22:56:54.944] V:3.984V | I:0.575A | mAh:390.83
[2026-01-16 22:56:55.952] V:3.980V | I:0.575A | mAh:390.99
[2026-01-16 22:56:56.944] V:3.984V | I:0.575A | mAh:391.15
[2026-01-16 22:56:57.954] V:3.984V | I:0.575A | mAh:391.31
[2026-01-16 22:56:58.946] V:3.984V | I:0.575A | mAh:391.47
[2026-01-16 22:56:59.950] V:3.980V | I:0.575A | mAh:391.63
[2026-01-16 22:57:00.955] V:3.976V | I:0.575A | mAh:391.79
[2026-01-16 22:57:01.960] V:3.980V | I:0.575A | mAh:391.95
[2026-01-16 22:57:02.953] V:3.984V | I:0.575A | mAh:392.11
[2026-01-16 22:57:03.965] V:3.988V | I:0.575A | mAh:392.27
[2026-01-16 22:57:04.957] V:3.984V | I:0.575A | mAh:392.43
[2026-01-16 22:57:05.968] V:3.984V | I:0.575A | mAh:392.59
[2026-01-16 22:57:06.961] V:3.980V | I:0.575A | mAh:392.75
[2026-01-16 22:57:07.969] V:3.984V | I:0.575A | mAh:392.91
[2026-01-16 22:57:08.978] V:3.988V | I:0.575A | mAh:393.07
[2026-01-16 22:57:09.973] V:3.980V | I:0.575A | mAh:393.23
[2026-01-16 22:57:10.977] V:3.980V | I:0.575A | mAh:393.39
[2026-01-16 22:57:11.971] V:3.984V | I:0.575A | mAh:393.55
[2026-01-16 22:57:12.978] V:3.980V | I:0.575A | mAh:393.71
[2026-01-16 22:57:13.988] V:3.984V | I:0.575A | mAh:393.87
[2026-01-16 22:57:14.979] V:3.984V | I:0.575A | mAh:394.03
[2026-01-16 22:57:15.993] V:3.984V | I:0.575A | mAh:394.19
[2026-01-16 22:57:16.994] V:3.992V | I:0.575A | mAh:394.35
[2026-01-16 22:57:17.990] V:3.988V | I:0.574A | mAh:394.51
[2026-01-16 22:57:18.991] V:3.980V | I:0.575A | mAh:394.67
[2026-01-16 22:57:19.995] V:3.988V | I:0.575A | mAh:394.83
[2026-01-16 22:57:21.000] V:3.984V | I:0.575A | mAh:394.99
[2026-01-16 22:57:21.993] V:3.984V | I:0.575A | mAh:395.15
[2026-01-16 22:57:22.998] V:3.980V | I:0.575A | mAh:395.31
[2026-01-16 22:57:24.002] V:3.984V | I:0.575A | mAh:395.47
[2026-01-16 22:57:25.003] V:3.980V | I:0.575A | mAh:395.63
[2026-01-16 22:57:26.008] V:3.988V | I:0.575A | mAh:395.79
[2026-01-16 22:57:27.013] V:3.984V | I:0.575A | mAh:395.95
[2026-01-16 22:57:28.007] V:3.984V | I:0.575A | mAh:396.11
[2026-01-16 22:57:29.015] V:3.980V | I:0.575A | mAh:396.27
[2026-01-16 22:57:30.020] V:3.984V | I:0.575A | mAh:396.43
[2026-01-16 22:57:31.012] V:3.984V | I:0.575A | mAh:396.59
[2026-01-16 22:57:32.019] V:3.984V | I:0.575A | mAh:396.75
[2026-01-16 22:57:33.027] V:3.980V | I:0.575A | mAh:396.91
